date,gross_return,turnover,cost,net_return,cum_gross,cum_net
2023-09-07,-0.011139842005303345,0.8188381701762689,0.0006550705361410152,-0.011794912541444361,0.9243677778566591,0.890488508021505
2023-09-08,-0.008172104105288859,0.0,0.0,-0.008172104105288859,0.9168137481444399,0.8832113432293899
2023-09-11,-0.00831908381781738,0.0,0.0,-0.00831908381781738,0.909186697728299,0.8758638340362175
2023-09-12,0.015138688606944003,0.0,0.0,0.015138688606944003,0.9229505920307834,0.8891232638817759
2023-09-13,0.000753799076519876,0.0,0.0,0.000753799076519876,0.9236463113347297,0.8897934841770022
2023-09-14,0.003867924587169208,1.1007574231908663,0.0008806059385526932,0.0029873186486165148,0.9272189056121894,0.8924515808457015
2023-09-15,0.014921541019550889,0.0,0.0,0.014921541019550889,0.9410544405463849,0.9057683337172537
2023-09-18,-0.009028080905984772,0.0,0.0,-0.009028080905984772,0.9325585249201959,0.8975909839183754
2023-09-19,0.0008746221559219399,0.0,0.0,0.0008746221559219399,0.9333741612677849,0.8983760368798662
2023-09-20,0.003949028457612749,0.0,0.0,0.003949028457612749,0.9370600823922318,0.9019237494151421
2023-09-21,-0.0035797474539591787,1.0655006096666986,0.0008524004877333589,-0.004432147941692537,0.9337056439480814,0.8979262899256081
2023-09-22,-0.0073072988490484984,0.0,0.0,-0.0073072988490484984,0.9268827777707096,0.8913648741807043
2023-09-25,-0.0039596590955276924,0.0,0.0,-0.0039596590955276924,0.9232126379492219,0.8878353731492208
2023-09-26,-0.004580384215952991,0.0,0.0,-0.004580384215952991,0.918983969354391,0.8837687460196834
2023-09-27,-0.015060151942636392,0.0,0.0,-0.015060151942636392,0.9051439311430667,0.8704590544224736
2023-09-28,0.003403835759335584,0.9324739591222043,0.0007459791672977634,0.002657856592037821,0.908224892423237,0.8727726097583695
2023-09-29,0.012685036826194327,0.0,0.0,0.012685036826194327,0.9197457586300922,0.8838437624540482
2023-10-02,-0.01058095030218597,0.0,0.0,-0.01058095030218597,0.9100139744673809,0.8744918555286249
2023-10-03,0.001230573289468129,0.0,0.0,0.001230573289468129,0.9111338133574032,0.8755679818478959
2023-10-04,0.0049738674274039454,0.0,0.0,0.0049738674274039454,0.915665672153668,0.8799229409132869
2023-10-05,-0.0008876303657478967,0.7961295087668516,0.0006369036070134813,-0.0015245339727613782,0.9148528994981915,0.8785814684964525
2023-10-06,-0.003686458120379402,0.0,0.0,-0.003686458120379402,0.9114803325978837,0.8753426147074989
2023-10-09,0.002165857725154298,0.0,0.0,0.002165857725154298,0.913454469317567,0.8772384822717197
2023-10-10,0.007345663137928434,0.0,0.0,0.007345663137928434,0.9201643981410091,0.8836823806541154
2023-10-11,-0.001976963750773197,0.0,0.0,-0.001976963750773197,0.9183452664811323,0.8819353726203653
2023-10-12,-0.008277233473772749,1.6036768240000792,0.0012829414592000633,-0.009560174932972811,0.910743908300934,0.8735039161785381
2023-10-13,0.003940749585210753,0.0,0.0,0.003940749585210753,0.9143329219798042,0.8769461763738987
2023-10-16,0.004485673114271842,0.0,0.0,0.004485673114271842,0.9184343205854227,0.8808798702599226
2023-10-17,0.007017295623823174,0.0,0.0,0.007017295623823174,0.9248792457240359,0.8870612647186116
2023-10-18,-0.014392744819767076,0.0,0.0,-0.014392744819767076,0.9115676947512312,0.8742940182960168
2023-10-19,-0.008011069639623865,1.2035095152651274,0.000962807612212102,-0.008973877251835967,0.9042650624673477,0.866448211093814
2023-10-20,0.0028713467422963107,0.0,0.0,0.0028713467422963107,0.9068615210086357,0.8689360843421067
2023-10-23,-0.0038228254765330515,0.0,0.0,-0.0038228254765330515,0.9033947476824364,0.8656142933414048
2023-10-24,-0.0013818346587329174,0.0,0.0,-0.0013818346587329174,0.9021464055095716,0.8644181575097711
2023-10-25,0.0034187399572440393,0.0,0.0,0.0034187399572440393,0.9052306094733713,0.867373378404617
2023-10-26,0.01741121186937199,1.4015664927637235,0.001121253194210979,0.01628995867516101,0.9209917714055528,0.8815028548947631
2023-10-27,-0.003415334256094836,0.0,0.0,-0.003415334256094836,0.9178462766590899,0.8784922279975956
2023-10-30,-0.00018065308816832,0.0,0.0,-0.00018065308816832,0.9176804648947476,0.8783335256636761
2023-10-31,0.007072630800614055,0.0,0.0,0.007072630800614055,0.9241708800158841,0.884545654410497
2023-11-01,-0.002793443901324817,0.0,0.0,-0.002793443901324817,0.9215892605073217,0.8820747257467406
2023-11-02,0.008986812738800917,1.7717914957337757,0.0014174331965870206,0.007569379542213896,0.929871410613591,0.8887514841305119
2023-11-03,0.014914431528260988,0.0,0.0,0.014914431528260988,0.9437399140972749,0.9020067072862167
2023-11-06,-0.010411512869670977,0.0,0.0,-0.010411512869670977,0.9339141538360288,0.8926154528447766
2023-11-07,-0.012411664856786322,0.0,0.0,-0.012411664856786322,0.9223227243536068,0.8815366089980786
2023-11-08,-0.005846928104876471,0.0,0.0,-0.005846928104876471,0.9169299696948174,0.8763823278234502
2023-11-09,-0.007229294961764818,1.7231619907238092,0.0013785295925790473,-0.008607824554343866,0.9103012124846115,0.8688385825030185
2023-11-10,-0.006143607869890675,0.0,0.0,-0.006143607869890675,0.90470867879162,0.8635007789498883
2023-11-13,0.002065400757517451,0.0,0.0,0.002065400757517451,0.9065772647821287,0.8652842541128483
2023-11-14,0.01322114800187838,0.0,0.0,0.01322114800187838,0.9185632569749514,0.8767243053001692
2023-11-15,0.01665934645716445,0.0,0.0,0.01665934645716445,0.9338659205157186,0.8913299592495816
2023-11-16,-0.011802945862830557,1.296589511352139,0.0010372716090817113,-0.012840217471912269,0.9228435516127291,0.8798850887335863
2023-11-17,0.008181122441722954,0.0,0.0,0.008181122441722954,0.9303934477030273,0.887083536379162
2023-11-20,-0.007363512761893784,0.0,0.0,-0.007363512761893784,0.9235424836772838,0.8805514854381683
2023-11-21,0.003496716621678045,0.0,0.0,0.003496716621678045,0.9267718500307839,0.8836305244535432
